1706370985 [45.6853824, -110.5042701]
1706371000 [45.683888, -110.5065407]
1706371015 [45.6793312, -110.5113323]
1706371030 [45.6765299, -110.5146523]
1706371045 [45.6736337, -110.5176605]
1706371060 [45.6684483, -110.5233308]
1706371075 [45.6662277, -110.525803]
1706371090 [45.6617476, -110.5306239]
1706371105 [45.6594779, -110.5331517]
1706371120 [45.6552174, -110.5380318]
1706371135 [45.653115, -110.5411489]
1706371150 [45.6506522, -110.5444711]
1706371165 [45.6479812, -110.5481094]
1706371180 [45.6445693, -110.5560712]
1706371195 [45.6444882, -110.5608756]
