1706219923 [45.6871301, -110.5034346]
1706219936 [45.6848958, -110.5050691]
1706219949 [45.6829945, -110.507348]
1706219962 [45.679008, -110.5117145]
1706219975 [45.6765875, -110.514516]
1706219988 [45.6742817, -110.5168723]
1706220001 [45.6716898, -110.5197562]
1706220014 [45.668773, -110.5227777]
1706220027 [45.6641543, -110.5279715]
1706220040 [45.6615612, -110.530874]
1706220053 [45.6588133, -110.5338027]
1706220066 [45.6560327, -110.5369712]
1706220079 [45.6540041, -110.5397905]
1706220092 [45.6499501, -110.5454721]
1706220105 [45.6479152, -110.5485582]
1706220118 [45.6456544, -110.552467]
1706220131 [45.6445871, -110.5560585]
1706220144 [45.6445255, -110.5611144]
