1706370629 [45.6584881, -110.5677252]
1706370644 [45.6613748, -110.5631236]
1706370659 [45.6625046, -110.5608954]
1706370674 [45.6632134, -110.5594935]
1706370689 [45.6630406, -110.5593569]
1706370704 [45.6642107, -110.5577376]
1706370719 [45.6654332, -110.5555146]
1706370734 [45.6661489, -110.5538174]
1706370749 [45.6675797, -110.5513538]
1706370764 [45.6684047, -110.54936]
1706370779 [45.6694784, -110.5476964]
1706370794 [45.6713382, -110.5446286]
1706370809 [45.6724979, -110.5437128]
1706370824 [45.6757078, -110.5403538]
1706370839 [45.6753815, -110.5356919]
1706370854 [45.6781649, -110.5285029]
1706370869 [45.6794623, -110.525395]
1706370884 [45.6808728, -110.5216277]
1706370899 [45.68262, -110.517152]
