1706309787 [45.641433, -110.5742575]
1706309800 [45.641433, -110.5742575]
1706309815 [45.6369868, -110.5752576]
1706309830 [45.6343272, -110.5758984]
1706309845 [45.6328114, -110.5764269]
1706309860 [45.631945, -110.5769746]
1706309875 [45.6285266, -110.5772393]
1706309890 [45.62338, -110.5783811]
1706309905 [45.621879, -110.5786193]
1706309920 [45.6178195, -110.5830327]
1706309935 [45.6137119, -110.578372]
1706309950 [45.6115238, -110.5774533]
1706309965 [45.6087446, -110.5763724]
1706309980 [45.6057905, -110.5750829]
1706309995 [45.6023092, -110.5739816]
1706310010 [45.600563, -110.5734603]
