1706219525 [45.6585013, -110.5677903]
1706219540 [45.6598172, -110.5659134]
1706219555 [45.6598063, -110.5659064]
1706219570 [45.6605225, -110.564638]
1706219585 [45.6616055, -110.5624776]
1706219600 [45.6616055, -110.5624776]
1706219615 [45.6628338, -110.5600036]
1706219630 [45.6639046, -110.5578461]
1706219645 [45.6651099, -110.5556444]
1706219660 [45.6661956, -110.5540408]
1706219675 [45.6668929, -110.5525523]
1706219690 [45.6681921, -110.5501797]
1706219705 [45.6693954, -110.5476979]
1706219720 [45.6700645, -110.5463469]
1706219736 [45.6722619, -110.5428836]
1706219750 [45.6731863, -110.541153]
1706219766 [45.6750487, -110.5362672]
1706219780 [45.6761242, -110.5334458]
1706219795 [45.6775822, -110.5298709]
1706219811 [45.6793284, -110.5251738]
1706219825 [45.6805719, -110.5221176]
1706219840 [45.6816104, -110.5193441]
